units,area,value,income,occupiedunits,population,population_density,water_area,zip
12976,0.28,509000,31925,11395,26999,96790.0,0.0,10030
25071,0.87,716100,37872,22839,59707,68513.0,0.0,10027
21323,2.18,386600,35866,20571,58519,26846.0,0.01,10473
28087,2.15,426100,48400,26420,76174,35502.0,0.0,11203
35261,2.18,598800,43398,32212,88630,40566.0,0.0,11214
16724,0.98,464500,40372,15512,49896,50927.0,0.02,11237
31045,1.79,615300,37580,29018,99598,55603.0,0.0,11220
26178,1.08,171200,33776,24909,76103,70778.0,0.02,10468
8303,1.57,562900,58465,7751,23438,14915.0,0.0,11356
22604,0.65,369800,37655,20638,56438,86722.0,0.0,10031
39402,0.49,872500,103534,34383,60998,124357.0,0.0,10023
23485,0.44,866100,109019,19253,31924,73158.0,0.0,10022
25100,0.74,265500,48683,23906,66636,90360.0,0.0,11372
26178,1.08,171200,33776,24909,76103,70778.0,0.02,10468
34202,2.67,403800,32945,31118,93386,34965.0,0.0,11207
4913,0.24,580400,83066,4501,11661,48251.0,0.0,10044
37745,1.29,480500,40734,36101,101572,78775.0,0.0,11226
26178,1.08,171200,33776,24909,76103,70778.0,0.02,10468
31121,0.83,787000,31888,29378,76003,92116.0,0.0,10029
26178,1.08,171200,33776,24909,76103,70778.0,0.02,10468
18234,1.47,681700,61893,15572,41788,28428.0,0.0,11228
12695,1.29,414700,60897,11845,39127,30376.0,0.0,11421
18234,1.47,681700,61893,15572,41788,28428.0,0.0,11228
20225,0.93,297300,52532,19311,43600,46664.0,0.0,11374
34885,2.17,524100,51725,30601,80018,36934.0,0.05,11229
35261,2.18,598800,43398,32212,88630,40566.0,0.0,11214
8303,1.57,562900,58465,7751,23438,14915.0,0.0,11356
34885,2.17,524100,51725,30601,80018,36934.0,0.05,11229
16724,0.98,464500,40372,15512,49896,50927.0,0.02,11237
16261,3.66,402300,56848,14719,39706,10852.0,0.01,10301
12976,0.28,509000,31925,11395,26999,96790.0,0.0,10030
12695,1.29,414700,60897,11845,39127,30376.0,0.0,11421
29941,1.43,533400,28559,28025,81677,56939.0,0.0,11206
6282,0.94,556000,101934,5637,11513,12312.0,1.49,07020
29941,1.43,533400,28559,28025,81677,56939.0,0.0,11206
19518,2.15,519000,50450,18448,60809,28295.0,0.0,11432
18234,1.47,681700,61893,15572,41788,28428.0,0.0,11228
14649,2.07,543800,69843,13881,34821,16785.0,0.0,11379
23485,0.44,866100,109019,19253,31924,73158.0,0.0,10022
26178,1.08,171200,33776,24909,76103,70778.0,0.02,10468
20225,0.93,297300,52532,19311,43600,46664.0,0.0,11374
26598,1.43,546300,52445,25240,75220,52664.0,0.0,11218
29074,1.35,551900,34492,25693,67053,49746.0,0.0,11233
28628,0.39,1000001,107907,24734,43631,112711.0,0.0,10021
6389,1.35,460500,82301,6056,17590,13039.0,0.0,11426
26178,1.08,171200,33776,24909,76103,70778.0,0.02,10468
29941,1.43,533400,28559,28025,81677,56939.0,0.0,11206
30978,2.63,480900,45964,28861,109931,41768.0,0.04,11368
25100,0.74,265500,48683,23906,66636,90360.0,0.0,11372
26178,1.08,171200,33776,24909,76103,70778.0,0.02,10468
21127,2.4,454700,52347,19772,50502,21045.0,0.0,10461
21323,2.18,386600,35866,20571,58519,26846.0,0.01,10473
